ISO3,year,government_effectiveness,control_of_corruption,gdp_per_capita_log,urban_share,median_age,life_expectancy,locc
DEU,2023,0.8170010689999999,0.8225335199999999,11.18002328473319,81.9034366692129,45.147,80.6,1.6
DEU,2024,0.8140675499999999,0.8375159189999999,11.205747031185757,82.0211432579125,,81.54615,1.6
DEU,2025,,,10.9282466745664,81.294,46.2,83.19999999999999,1.8
DJI,2015,0.310065689,0.279139146,8.357954262455216,77.4,,,6.756953135608046
DJI,2016,0.37479315,0.334572041,8.396508273621077,71.1492236341041,22.318,63.3715,6.8
DJI,2017,0.361890273,0.32384087,8.450350868823818,71.318261933957,22.613,63.7455,6.5
DJI,2018,0.36329487,0.312252814,8.533678709517504,71.5153442785902,22.912,64.14099999999999,6.5
DJI,2019,0.386444045,0.290582086,8.59378386170315,71.7418146554518,23.213,64.41550000000001,6.4
DJI,2020,0.382156211,0.313766334,8.617400786969608,78.1,24.4,63.1,6.4
DJI,2021,0.387465615,0.29463021,8.692843893111139,72.2882954556515,23.795,63.874,6.1
DJI,2022,0.404871979,0.294595051,8.798051592819647,72.6109938538856,24.085,65.5735,6.1
DJI,2023,0.409149061,0.29535172,8.885418602536083,72.8408245988921,24.389,66.0175,6.1
DJI,2024,0.4175371529999999,0.298234701,8.963195926021397,72.9052635052978,,66.2336,6.1
DJI,2025,,,8.606479459122056,82.005,25.8,64.75,6.4
DMA,2015,,,,69.6,,,3.321657967246508
DMA,2016,,,,70.2511605730541,,,3.4
DMA,2017,,,,70.6405848604787,,,3.8
DMA,2018,,,,71.0362526779762,,,3.7
DMA,2019,,,,71.4382284948964,,,3.8
DMA,2020,,,,71.1,,,4.1
DMA,2021,,,,72.2613620044042,,,4.2
DMA,2022,,,,72.682648635692,,,4.1
DMA,2023,,,,73.1105011438027,,,4.1
DMA,2024,,,,73.5449839980866,,,4.1
DMA,2025,,,,76.747,,,3.7
DNK,2015,0.880223069,0.940318163,10.797475618163675,87.5,41.5,81.05,1.107992707035908
DNK,2016,0.870248227,0.917333634,10.855549827751805,87.6999969482422,40.593,80.9,1.4
DNK,2017,0.8683395819999999,0.921388762,10.920014449787988,88.0161943799509,40.724,81.15,1.4
DNK,2018,0.886832634,0.915379901,10.954896822302976,88.1059762310689,40.861,81.0,1.4
DNK,2019,0.891490916,0.915002821,11.01196710590439,88.2096490810669,40.993,81.5,1.4
DNK,2020,0.90227523,0.93693418,11.04583422974388,88.1,42.1,82.05,1.3
DNK,2021,0.939328863,0.943057345,11.152173377452948,88.2616449318149,41.243,81.44999999999999,1.3
DNK,2022,0.921406221,0.944556494,11.276109539915003,88.3880239837703,41.216,81.35,1.3
DNK,2023,0.8937227,0.947577543,11.263082295783702,88.552638542867,41.249,81.9,1.3
DNK,2024,0.885349172,0.941568337,11.31298848342318,88.6960552688405,,82.09045,1.2
DNK,2025,,,11.0045764696863,91.074,42.7,83.0,0.8
DOM,2015,0.431536283,0.242073321,9.602659273257837,78.6,26.2,73.4,5.281898069781851
DOM,2016,0.466104504,0.317819762,9.6978271460354,74.0506780735522,25.448,72.9655,4.8
DOM,2017,0.452306502,0.316402349,9.73188082035683,73.926806252977,25.762,73.4245,4.6
DOM,2018,0.444024905,0.307634121,9.797840233213703,73.7589255716938,26.076,73.614,4.7
DOM,2019,0.455172726,0.316185157,9.891757162681824,73.5403464672933,26.388,73.173,4.6
DOM,2020,0.443335692,0.33553066,9.85210514716418,82.5,27.7,74.15,4.4
